央视频道,#genre#
广东珠江,http://113.110.79.36:8090/hls/105/index.m3u8

CCTV1,http://115.56.156.234:808/hls/1/index.m3u8
CCTV1,http://1.197.249.129:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://115.56.156.234:808/hls/2/index.m3u8
CCTV2,http://1.197.249.129:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://115.56.156.234:808/hls/3/index.m3u8
CCTV3,http://1.197.249.129:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://115.56.156.234:808/hls/4/index.m3u8
CCTV4,http://1.197.249.129:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://115.56.156.234:808/hls/5/index.m3u8
CCTV5,http://1.197.249.129:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://115.56.156.234:808/hls/6/index.m3u8
CCTV6,http://1.197.249.129:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://115.56.156.234:808/hls/7/index.m3u8
CCTV7,http://1.197.249.129:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://115.56.156.234:808/hls/8/index.m3u8
CCTV8,http://1.197.249.129:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://115.56.156.234:808/hls/9/index.m3u8
CCTV9,http://1.197.249.129:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://115.56.156.234:808/hls/10/index.m3u8
CCTV10,http://1.197.249.129:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://115.56.156.234:808/hls/11/index.m3u8
CCTV11,http://1.197.249.129:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://115.56.156.234:808/hls/12/index.m3u8
CCTV13,http://115.56.156.234:808/hls/13/index.m3u8
CCTV13,http://1.197.249.129:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://115.56.156.234:808/hls/14/index.m3u8
CCTV14,http://1.197.249.129:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://1.197.249.129:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://1.197.249.129:9901/tsfile/live/0007_2.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
安徽卫视,http://1.197.249.129:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://1.197.249.129:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://115.56.156.234:808/hls/30/index.m3u8
重庆卫视,http://1.197.249.129:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://115.56.156.234:808/hls/38/index.m3u8
广西卫视,http://1.197.249.129:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://115.56.156.234:808/hls/37/index.m3u8
河北卫视,http://1.197.249.129:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://1.197.249.129:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://115.56.156.234:808/hls/16/index.m3u8
湖北卫视,http://115.56.156.234:808/hls/34/index.m3u8
湖南卫视,http://1.197.249.129:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://115.56.156.234:808/hls/27/index.m3u8
江苏卫视,http://115.56.156.234:808/hls/28/index.m3u8
江西卫视,http://1.197.249.129:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://115.56.156.234:808/hls/35/index.m3u8
南方卫视,http://113.110.79.36:8090/hls/109/index.m3u8
山东卫视,http://1.197.249.129:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://115.56.156.234:808/hls/32/index.m3u8
山西卫视,http://1.197.249.129:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://1.197.249.129:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://1.197.249.129:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://1.197.249.129:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://115.56.156.234:808/hls/33/index.m3u8
四川卫视,http://1.197.249.129:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://115.56.156.234:808/hls/39/index.m3u8
天津卫视,http://115.56.156.234:808/hls/31/index.m3u8
云南卫视,http://1.197.249.129:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://115.56.156.234:808/hls/36/index.m3u8
浙江卫视,http://1.197.249.129:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://115.56.156.234:808/hls/29/index.m3u8
影视频道,#genre#
武术世界,http://1.197.249.129:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
少儿频道,#genre#
广东少儿,http://113.110.79.36:8090/hls/111/index.m3u8
金鹰卡通,http://1.197.249.129:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://115.56.156.234:808/hls/40/index.m3u8
省市频道,#genre#
福建东南,http://1.197.249.129:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://113.110.79.36:8090/hls/107/index.m3u8
广东经济科教,http://113.110.79.36:8090/hls/129/index.m3u8
广东体育,http://113.110.79.36:8090/hls/108/index.m3u8
广东新闻,http://113.110.79.36:8090/hls/106/index.m3u8
广东影视,http://113.110.79.36:8090/hls/110/index.m3u8
河南法制,http://1.197.249.129:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河南法治,http://115.56.156.234:808/hls/20/index.m3u8
河南公共,http://1.197.249.129:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
河南梨园,http://115.56.156.234:808/hls/17/index.m3u8
河南民生,http://1.197.249.129:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河南民生,http://115.56.156.234:808/hls/19/index.m3u8
河南新闻,http://1.197.249.129:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河南影视,http://1.197.249.129:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
公共,http://115.56.156.234:808/hls/15/index.m3u8
湛江公共,http://113.110.79.36:8090/hls/3/index.m3u8
百姓调解,http://1.197.249.129:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
都市,http://115.56.156.234:808/hls/18/index.m3u8
岭南戏曲,http://113.110.79.36:8090/hls/22/index.m3u8
